epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
142,12189.8,0.41288,0.24384,1.04849,0.00636,0.98362,0.99286,0.99409,0.96101,0.27589,0.15335,0.97608,0.00298,0.00318645,0.00318645,0.00318645
143,12275.8,0.41764,0.24603,1.05788,0.00684,0.98595,0.99222,0.99429,0.96029,0.27667,0.1552,0.97875,0.00323,0.00316678,0.00316678,0.00316678
144,12361.2,0.4148,0.24249,1.06049,0.00679,0.98743,0.99332,0.99423,0.9612,0.27722,0.1556,0.9818,0.00317,0.00314711,0.00314711,0.00314711
145,12446.8,0.41406,0.24159,1.05175,0.00686,0.98721,0.99319,0.99421,0.96116,0.27674,0.15343,0.98101,0.00254,0.00312745,0.00312745,0.00312745
146,12532.7,0.41517,0.24534,1.05588,0.00675,0.98547,0.99319,0.99423,0.96155,0.27445,0.15269,0.97659,0.0025,0.00310778,0.00310778,0.00310778
147,12618.3,0.42224,0.24791,1.05122,0.00676,0.98329,0.99319,0.99422,0.9629,0.27411,0.15042,0.97503,0.00248,0.00308812,0.00308812,0.00308812
148,12703.9,0.41321,0.24365,1.05422,0.00621,0.98737,0.98892,0.99423,0.96243,0.27268,0.15038,0.9728,0.00245,0.00306845,0.00306845,0.00306845
149,12789.3,0.41455,0.2421,1.06074,0.00694,0.98451,0.98952,0.99408,0.96258,0.27189,0.15007,0.9709,0.00265,0.00304879,0.00304879,0.00304879
150,12874.8,0.41355,0.23832,1.05968,0.00696,0.98644,0.99076,0.99396,0.96298,0.27021,0.15046,0.96925,0.00292,0.00302912,0.00302912,0.00302912
151,12960.6,0.41146,0.23971,1.0578,0.00665,0.98526,0.99319,0.99388,0.96116,0.2718,0.15335,0.97035,0.00329,0.00300945,0.00300945,0.00300945
